code,name,close,volume
ASPS,Altisource Portfolio,12.87,"21,600"
ASPU,Aspen Group Inc,10.72,"40,200"
ASRT,Assertio Therapeutics Inc,0.3823,"2,737,300"
ASRV,Ameriserv Financial,3.010,"12,500"
ASRVP,Ameriserv Fin Cap,28.00,400
ASTC,Astrotech Corp,1.740,"440,300"
ASTE,Astec Inds Inc,55.53,"121,600"
ASUR,Asure Software,7.740,"68,100"
ASYS,Amtech Systems Inc,5.830,"73,900"
ATAX,Amer First Mf Inv,3.820,"106,700"
ATCX,Atlas Technical Consultants Inc,5.230,"85,000"
ATCXW,Atlas Technical Consultants Inc,0.9700,"5,100"
ATEC,Alphatec Holdings,10.80,"763,600"
ATEX,Pdvwireless,29.13,"169,800"
ATHA,Athira Pharma Inc,23.42,"122,400"
ATHE,Alterity Therapeutics Ltd,1.600,"1,016,900"
ATHX,Athersys Inc,1.640,"2,568,500"
ATIF,Atif Holdings Ltd,0.7400,"2,061,400"
ATLC,Atlanticus Hld Cp,14.81,"9,700"
ATLO,Ames Natl Corp,21.54,"22,200"
ATNF,180 Life Sciences Corp,2.580,"1,128,900"
ATNFW,180 Life Sciences Corp WT,0.1810,"66,900"
ATNI,Atn International,49.11,"28,500"
ATNX,Athenex Inc,14.01,"824,400"
ATOM,Atomera Inc,9.060,"356,400"
ATOS,Atossa Genetics Inc,1.540,"32,200"
ATRA,Atara Biotherap,22.98,"1,286,100"
ATRC,Atricure Inc,42.46,"603,600"
ATRI,Atrion Corp,592.1,"4,100"
ATRO,Astronics Cp,11.28,"1,325,900"
ATRS,Antares Pharma,2.880,"416,800"
ATSG,Air Transport,29.48,"248,700"
ATVI,Activision Blizzard,76.81,"6,731,800"
ATXI,Avenue Therapeutics Inc,3.360,"204,300"
AUB,Atlantic Union Bancshares Corp,29.82,"232,900"
AUBAP,Atlantic Union Bankshares Corp,27.00,"12,700"
AUBN,Auburn Natl Bncp,38.30,"1,300"
AUDC,Audiocodes Ltd,26.82,"287,600"
AUPH,Aurinia Pharm Ord,14.43,"2,182,900"
AUTL,Autolus Therapeutics Plc ADR,10.89,"78,100"
AUTO,Autoweb Inc,2.610,"514,600"
AUVI,Applied Uv Inc,5.100,"87,300"
AVAV,Aerovironment Inc,83.30,"113,800"
AVCO,Avalon Globocare,1.200,"224,000"
AVCT,American Virtual Cloud Tech Inc,4.490,"89,000"
AVCTW,American Virtual Cloud Tech Inc Warrants,0.3060,"35,200"
AVDL,Avadel Pharmaceuticals Plc,6.950,"335,100"
AVEO,Aveo Pharmaceuticals,6.130,"1,874,000"
AVGO,Broadcom Ltd,383.3,"1,614,800"
AVGOP,Broadcom Inc 8% Prf Undated USD 1000 Ser,"1,298","4,400"
AVGR,Avinger Inc,0.2948,"4,453,700"
AVID,Avid Tech Inc,12.29,"444,600"
AVIR,Atea Pharmaceuticals Inc,33.17,"313,200"
AVNW,Aviat Networks Inc,30.40,"107,300"
AVO,Mission Produce Inc,13.79,"108,800"
AVRO,Avrobio Inc,13.99,"2,163,200"
AVT,Avnet Inc,28.74,"473,500"
AVXL,Anavex Lf SC,5.170,"577,000"
AWH,Aspira Womans Health Inc,4.520,"557,100"
AWRE,Aware Inc,2.690,"9,700"
AXAS,Abraxas Petro Corp,2.020,"368,000"
AXDX,Accelerate Diagnosti,8.340,"211,900"
AXGN,Axogen Inc,14.46,"298,100"
AXGT,Axovant Sciences Ltd,2.100,"490,900"
AXLA,Axcella Health Inc,5.350,"120,800"
AXNX,Axonics Modulation Technologies Inc,47.11,"479,500"
AXSM,Axsome Thera,72.44,"247,000"
AXTI,Axt Inc,10.22,"1,777,300"
AY,Atlantica Yield Plc,32.35,"490,900"
AYLA,Ayala Pharmaceuticals Inc,10.31,900
AYRO,Ayro Inc,8.090,"135,445,600"
AYTU,Aytu Bioscience Inc,0.9503,"2,896,700"
AZN,Astrazeneca Plc,55.30,"4,314,600"
AZPN,Aspen Technology,131.1,"346,000"
AZRX,Azurrx Biopharma Inc,0.7750,"125,300"
AZYO,Aziyo Biologics Inc Cl A,12.40,"51,600"
BAND,Bandwidth Inc,153.0,"541,100"
BANF,Bancfirst Corp,54.18,"56,900"
BANFP,Bfc Capital Trust II,28.48,300
BANR,Banner Corp,43.16,"156,100"
BANX,Stonecastle Fncl Cp,19.48,"9,300"
BASI,Bioanalytical Syst,6.240,"82,800"
BATRA,Liberty Braves CS A,24.41,"56,900"
BATRK,Liberty Braves CS C,24.13,"241,400"
BBBY,Bed Bath & Beyond,20.24,"4,745,100"
BBCP,Concrete Pumping Holdings Inc,3.500,"71,300"
BBGI,Beasley Brdcst Gr,1.540,"343,500"
BBH,Biotech Vaneck ETF,157.9,"5,900"
BBI,Brickell Biotech Inc,0.5923,"1,571,400"
BBIG,Vinco Ventures Inc,1.460,"137,100"
BBIO,Bridgebio Pharma Inc,44.23,"435,500"
BBQ,Bbq Holdings Inc,4.790,"4,000"
BBSI,Barrett Business S,68.14,"31,000"
BCBP,Bcb Bancorp Inc,10.30,"34,100"
BCDA,Biocardia Inc,2.400,"80,300"
BCDAW,Biocardia Inc WT,1.168,"1,200"
BCEL,Atreca Inc Cl A,14.77,"98,200"
BCLI,Brainstorm Cell,4.340,"3,455,800"
BCML,Bay Commercial Bk CA,14.87,"113,800"
BCOR,Blucora Inc,12.64,"247,200"
BCOV,Brightcove Inc,13.40,"185,200"
BCOW,1895 Bancorp of Wisconsin Inc,9.640,"2,300"
BCPC,Balchem Cp,103.8,"101,200"
BCRX,Biocryst Pharma Inc,4.330,"3,669,200"
BCTG,Bctg Acquisition Corp,10.34,"4,300"
BCYC,Bicycle Therapeutics Plc ADR,20.63,"27,700"
BDGE,Bridge Bancorp Inc,21.79,"91,700"
BDSI,Biodelivery Sci Intl,3.990,"701,500"
BDSX,Biodesix Inc,17.09,"223,500"
BDTX,Black Diamond Therapeutics Inc,33.34,"140,500"
BEAM,Beam Therapeutics Inc,41.63,"595,500"
BEAT,Biotelemetry Inc,49.36,"408,800"
BECN,Beacon Roofing Suppl,36.99,"1,458,300"
BEEM,Beam Global,25.30,"1,578,000"
BEEMW,Beam Global WT,18.91,"224,800"
BELFA,BEL Fuse Cl A,13.75,900
BELFB,BEL Fuse Inc Cl B,14.09,"25,600"
BFC,Bank First National Corp [Wisconsin],65.11,"18,500"
BFIN,Bankfinancial Corp,8.150,"65,200"
BFIT,G-X Health & Wellness Thematic ETF,24.34,"2,500"
BFRA,Biofrontera Ag ADR,7.230,"15,600"
BFST,Business First Bancshares Inc,18.95,"45,500"
BGCP,Bgc Partners Cl A,3.840,"3,212,600"
BGFV,Big 5 Sporting,9.850,"1,713,000"
BGNE,Beigene Ltd Ads,284.2,"115,800"
BGRN,Ishares Global Green Bond ETF,56.12,"31,100"
BHAT,Blue Hat Interactive Entertainment Tech,0.8600,"1,712,900"
BHF,Brighthouse Financial Inc,34.01,"528,800"
BHFAL,Brighthouse Financial Inc 6.25% Junior,26.95,"7,200"
BHFAO,Brighthouse Financial Inc,27.72,"28,300"
BHFAP,Brighthouse Financial Inc Dep Shs Repstg,27.98,"36,000"
BHSEU,Bull Horn Holdings Corp,9.900,"102,000"
BHTG,Biohitech Global Inc,1.240,"367,600"
BIB,Ultra Nasdaq Biotech Proshares,72.71,"46,800"
BICK,BICK Index Fund FT,33.63,600
BIDU,Baidu Inc,136.1,"5,842,400"
BIGC,Bigcommerce Holdings Inc,67.63,"1,487,600"
BIIB,Biogen Inc,244.2,"1,334,800"
BILI,Bilibili Inc ADR,60.00,"9,662,600"
BIMI,NF Energy Saving Corp,1.730,"255,900"
BIOC,Biocept Inc,4.600,"573,900"
BIOL,Biolase Inc,0.2920,"8,816,000"
BIS,Ultrashort Biotechnology Proshares,28.43,"16,300"
BIVI,Biovie Inc,7.900,"21,500"
BJK,Gaming ETF Vaneck,43.56,"22,900"
BJRI,Bj's Restaurants Inc,35.90,"399,800"
BKCC,Blackrock Cptl Invt,2.830,"387,500"
BKEP,Blueknight Energy LP,1.630,"44,300"
BKEPP,Blueknight Srs A Uts,5.950,"28,500"
BKNG,Booking Holdings Inc,"1,993","307,700"
BKSC,Bank of So Car Cp,16.54,"3,900"
BKYI,Bio-Key Intl Inc,2.930,"701,400"
BL,Blackline Inc,112.6,"461,100"
BLBD,Blue Bird Corp,15.91,"59,500"
BLCM,Bellicum Pharma Comm,3.040,"229,900"
BLCN,Reality Shares Nasdaq Nextgen Economy,37.35,"62,800"
BLCT,Bluecity Holdings Limited ADR,9.390,"148,500"
BLDP,Ballard Power Sys,19.29,"7,596,100"
BLDR,Builders Firstsource,35.76,"1,755,100"
BLFS,Biolife Solutions,32.42,"362,300"
BLI,Berkeley Lights Inc,83.78,"592,300"
BLIN,Bridgeline Digital,2.070,"2,451,000"
BLKB,Blackbaud Inc,53.32,"266,200"
BLMN,Bloomin' Brands Inc,17.08,"1,771,500"
BLNK,Blink Charging Company,22.67,"44,189,500"
BLNKW,Blink Charging CO WT,18.42,"463,300"
BLPH,Bellerophon Ther Com,8.780,"35,100"
BLRX,Biolinerx Ltd,2.640,"1,458,400"
BLSA,Bcls Acquisition Corp. Cl A,10.89,400
BLU,Bellus Health Inc,3.210,"2,889,700"
BLUE,Bluebird Bio,43.07,"1,538,700"
BMCH,Bmc Stock Holdings,46.79,"411,600"
BMLP,Dorsey Wright MLP Index ETN,33.81,200
BMRA,Biomerica Inc,6.800,"131,800"
BMRC,Bank of Marin Bancrp,35.62,"39,500"
BMRN,Biomarin Pharmaceuticals,75.95,"1,257,300"
BMTC,Bryn Mawr Bank Corp,30.47,"74,400"
BND,Total Bond Market ETF Vanguard,88.38,"6,613,200"
BNDW,Total World Bond Vanguard ETF,82.12,"24,500"
BNDX,Total Intl Bond ETF Vanguard,58.52,"2,173,700"
BNFT,Benefitfocus,12.05,"247,100"
BNGO,Bionano Genomics Inc,0.5220,"5,541,700"
BNGOW,Bionano Genomics Inc WT,0.1620,800
BNR,Burning Rock Biotech Limited ADR,24.01,"584,800"
BNSO,Bonso Elec Intl IN,4.400,"2,200"
BNTC,Benitec Biopharma Ltd,2.880,"324,000"
BNTX,Biontech Se ADR,104.1,"6,776,800"
BOCH,Bank of Commerce Hld,9.130,"20,200"
BOKF,Bok Financial Corp,69.10,"153,900"
BOKFL,Bok Financial Corp,25.75,"3,100"
BOMN,Boston Omaha Corp Cl A,21.61,"107,500"
BOOM,Dynamic Materials,41.33,"119,500"
BOSC,Bos Better Online,2.500,"4,900"
BOTJ,Bank of The Jame Fnl,11.71,"3,100"
BOTZ,G-X Robotics & Artificial Intel Thmtc,31.06,"560,700"
BOWX,Bowx Acquisition Corp. Cl A,9.850,"218,900"
BOWXU,Bowx Acquisition Corp,10.15,"60,600"
BOWXW,Bowx Acquisition Corp. WT,1.200,"22,000"
BOXL,Boxlight Corp Cl A,1.470,"2,114,300"
BPFH,Boston Pvt Finl Hld,7.230,"312,300"
BPMC,Blueprint Medicines Corp,97.65,"606,900"
BPOP,Popular Inc,49.00,"635,200"
BPOPM,Popular Inc Trust II,25.75,700
BPOPN,Popular Inc Trust,26.00,"3,800"
BPRN,Bank of Princeton,22.75,"3,100"
BPTH,Bio-Path Holdings,3.670,"726,800"
BPY,Brookfield Property Partners L,15.75,"1,722,900"
BPYPN,Brookfield Property Partners L.P. 5.75%,22.46,"12,400"
BPYPO,Brookfield Property Partners L.P. 6.375%,23.68,"25,700"
BPYPP,Brookfield Property Partners LP Pfd Unit,23.96,"18,000"
BPYU,Brookfield Property REIT Inc,16.04,"267,700"
